id	interest_name	facebook_page	facebook_id	url	category	topic	political_bias
18432	"\u0639\u0628\u062f \u0627\u0644\u0631\u062d\u064a\u0645 \u0639\u0644\u064a"	"\u0639\u0628\u062f \u0627\u0644\u0631\u062d\u064a\u0645 \u0639\u0644\u064a"	174945922531009	http://www.abdelrehimaly.com/	Journalist	People	-0.4431
18433	"KASS"	""	-	-	Radio Station	News and entertainment	-0.2441
18434	"Marguerite Duras"	""	-	-	Journalist	People	-1.5385
18435	"Caccia e Pesca"	""	-	-	TV Channel	Business and industry	0.7712
18436	"WOL (AM)"	""	-	-	Radio Station	News and entertainment	-0.5106
18437	"Kaichou wa Maid-sama!"	""	-	-	TV Show	News and entertainment	-0.8339
18438	"Love Inspired Books"	"Love Inspired Books"	12370169665	http://www.LoveInspired.com	Publisher	People	0.9872
18439	"Kapamilyanovelas (Official)"	"Kapamilyanovelas (Official)"	162641243760972	https://twitter.com/KapamilyaNovela	TV Show	News and entertainment	-0.7416
18440	"Did You Know Gaming?"	""	-	-	Website	Education	-0.7261
18441	"Being Human (UK series 5)"	""	-	-	TV Show	News and entertainment	-0.5827
18442	"Danny Wallace (humorist)"	""	-	-	Journalist	People	-0.1579
18443	"Shoes & Bags"	""	-	-	Magazine	News and entertainment	-0.9487
18444	"Malviviendo"	"Malviviendo"	105668952819078	www.malviviendo.com	TV Show	News and entertainment	-1.2545
18445	"Cocoric\u00f3"	"Cocoric\u00f3"	655393587830826	https://www.facebook.com/veronica.cocorico	TV Show	News and entertainment	-0.8497
18446	"G. K. Chesterton"	""	-	-	Journalist	People	0.7333
18447	"Doli Armaano Ki"	"Doli Armaano ki"	237490936413505	http://www.zeetv.com	TV Show	News and entertainment	-1.0189
18448	"Crowdrise"	"CrowdRise"	187432401806	http://www.crowdrise.com	Website	-	-0.1841
18449	"S\u0142ownik polsko@polski"	"S\u0142ownik polsko@polski"	130017820378254	http://slownikpolskopolski.tvp.pl	TV Show	News and entertainment	-0.4870
18450	"Galv\u00e3o Bueno"	""	-	-	Journalist	People	-0.8545
18451	"\u53f0\u7063\u9054\u4eba\u79c0"	"\u53f0\u7063\u9054\u4eba\u79c0"	251305151547796	http://news.ttshow.tw/	Media/News Company	News and entertainment	-0.8888
18452	"Glasgow Warriors"	"Glasgow Warriors"	175500162479722	www.glasgowwarriors.org	Sports Team	Sports and outdoors	-0.1429
18453	"Stop Shark Finning"	"Stop Shark Finning"	103234040059	http://www.stopsharkfinning.net	Society & Culture Website	Lifestyle and culture	-0.2876
18454	"Max Frisch"	""	-	-	Journalist	People	-1.4286
18455	"Daniel Pinchbeck"	"Daniel Pinchbeck"	451616234958575	http://www.pinchbeck.io	Journalist	People	-1.4518
18456	"Yummy Yummy"	""	-	-	TV Show	News and entertainment	-0.8844
18457	"Noragami"	"Noragami"	1393785720879241	https://www.facebook.com/StrayGod	TV Show	News and entertainment	-0.8186
18458	"John Pilger"	""	-	-	Journalist	People	-0.9575
18459	"Sport Diver magazine"	"Sport Diver magazine"	115430974041	http://www.sportdiver.com	Magazine	News and entertainment	0.4235
18460	"Harry Fox Agency"	""	-	-	Publisher	Business and industry	-0.7925
18461	"Snopes.com"	"snopes.com"	241061082705085	http://www.snopes.com	Website	-	-0.3000
18462	"Slytherin"	"Slytherin"	159323614112949	-	Sports Team	Sports and outdoors	-0.6185
18463	"Nidhi Razdan"	"Nidhi Razdan"	370195509736403	-	Journalist	People	-1.0000
18464	"SailorMoonWorld.it"	"SailorMoonWorld.it"	327733325666	www.sailormoonworld.it	Entertainment Website	News and entertainment	-0.7193
18465	"allnurses.com"	"allnurses.com"	40195471235	http://allnurses.com	Health & Wellness Website	Business and industry	0.2356
18466	"La loca de los gatos"	"La loca de los gatos"	35363127780	-	TV Show	News and entertainment	-0.6312
18467	"Secret Sales"	"Secret Sales"	371256893054	http://twitter.com/Secretsales	Website	Business and industry	-0.3793
18468	"FC Rostov"	""	-	-	Sports Team	Sports and outdoors	-0.7736
18469	"Princesse Sofia"	"Princesse Sofia"	343300689130370	http://www.disney.fr/disney-junior/brand/princesse-sofia.jsp	TV Show	News and entertainment	-0.2903
18470	"I LOVE HOMEOPATHY"	"I LOVE HOMEOPATHY"	112531495425409	ilovehomoeopathy.com	Magazine	News and entertainment	-0.0777
18471	"Girls' Generation's Horror Movie Factory"	""	-	-	TV Show	News and entertainment	-0.9134
18472	"Purplepride.org Vikings Fans"	"Purplepride.org Vikings Fans"	184791814922992	http://www.purplepride.org	Sports Team	Sports and outdoors	0.5680
18473	"Restaurant - NEWS"	""	-	-	News & Media Website	News and entertainment	-0.1635
18474	"Max Kolonko"	"Max kolonko"	1413199368982304	-	Journalist	People	-0.1090
18475	"Selvedge Magazine"	"Selvedge Magazine"	134327211669	www.selvedge.org	Magazine	News and entertainment	-0.9520
18476	"Giada De Laurentiis"	"Giada De Laurentiis"	49566416264	http://www.giadzy.com	Journalist	People	-0.0702
18477	"Oakland Raiders Fans"	""	-	-	Website	Business and industry	-0.3669
18478	"Ed Sullivan"	""	-	-	Journalist	People	0.4388
18479	"WWE Fans"	"WWE Fans"	254006121361916	WWFOldSchoolWrestling.com	News & Media Website	News and entertainment	-0.3024
18480	"Isaac Bashevis Singer"	""	-	-	Journalist	People	-1.1980
18481	"Cathy Kelly"	""	-	-	Journalist	People	0.1652
18482	"Funny Story"	"Funny Story"	266764526757264	-	Entertainment Website	News and entertainment	0.5308
18483	"Social Justice Solutions"	"Social Justice Solutions"	229980577101107	http://socialjusticesolutions.org	Media/News Company	News and entertainment	-0.6823
18484	"Farma (Slovakia)"	""	-	-	TV Show	News and entertainment	-0.4103
18485	"Sardegna Live"	"Sardegna Live"	473569436030938	http://www.sardegnalive.net	News & Media Website	News and entertainment	-0.3585
